trial,payload_bytes,latency_ns,delivered
39,4096,147167,true
40,4096,153770,true
41,4096,132139,true
42,4096,136447,true
43,4096,243971,true
44,4096,139854,true
45,4096,242819,true
46,4096,397260,true
47,4096,176563,true
48,4096,200298,true
49,4096,135466,true
50,4096,269268,true
51,4096,121630,true
52,4096,252767,true
53,4096,115107,true
54,4096,308011,true
55,4096,114035,true
56,4096,240003,true
57,4096,179699,true
58,4096,237739,true
59,4096,167917,true
60,4096,142749,true
61,4096,156595,true
62,4096,208634,true
63,4096,500975,true
64,4096,306138,true
65,4096,169720,true
66,4096,248880,true
67,4096,208023,true
68,4096,188465,true
69,4096,125456,true
70,4096,255252,true
71,4096,120437,true
72,4096,257205,true
73,4096,171373,true
74,4096,202392,true
75,4096,223692,true
76,4096,145665,true
77,4096,132640,true
78,4096,451161,true
79,4096,305356,true
80,4096,120217,true
81,4096,277393,true
82,4096,95450,true
83,4096,324051,true
84,4096,130918,true
85,4096,238029,true
86,4096,160533,true
87,4096,162586,true
88,4096,164661,true
89,4096,242437,true
90,4096,140295,true
91,4096,190639,true
92,4096,152799,true
93,4096,649075,true
94,4096,146517,true
95,4096,287773,true
96,4096,135436,true
97,4096,232709,true
98,4096,128964,true
99,4096,250422,true
100,4096,83647,true
1,16384,266352,true
2,16384,284046,true
3,16384,100440,true
4,16384,344851,true
5,16384,316728,true
6,16384,238019,true
7,16384,213994,true
8,16384,427978,true
9,16384,177786,true
10,16384,216378,true
11,16384,298654,true
12,16384,151937,true
13,16384,277604,true
14,16384,133281,true
15,16384,488472,true
16,16384,163238,true
17,16384,401167,true
18,16384,147708,true
19,16384,240985,true
20,16384,147348,true
21,16384,163388,true
22,16384,337818,true
23,16384,365550,true
24,16384,364188,true
25,16384,147969,true
26,16384,227389,true
27,16384,162697,true
28,16384,174930,true
29,16384,195328,true
30,16384,516515,true
31,16384,159511,true
32,16384,300708,true
33,16384,179258,true
34,16384,298072,true
35,16384,126258,true
36,16384,218522,true
37,16384,228491,true
38,16384,395026,true
39,16384,269438,true
40,16384,214575,true
41,16384,260862,true
42,16384,102514,true
43,16384,231757,true
44,16384,145133,true
45,16384,381871,true
46,16384,219574,true
47,16384,248659,true
48,16384,164691,true
49,16384,351052,true
50,16384,145866,true
51,16384,278606,true
52,16384,105028,true
53,16384,502538,true
54,16384,127520,true
55,16384,197212,true
56,16384,122511,true
57,16384,249010,true
58,16384,110959,true
59,16384,346373,true
60,16384,105178,true
61,16384,495024,true
62,16384,223122,true
63,16384,219545,true
64,16384,151516,true
65,16384,241916,true
66,16384,123543,true
67,16384,220306,true
68,16384,383022,true
69,16384,262566,true
70,16384,132250,true
71,16384,216769,true
72,16384,144753,true
73,16384,166665,true
74,16384,171574,true
75,16384,277073,true
76,16384,309243,true
77,16384,261753,true
78,16384,126940,true
79,16384,200578,true
80,16384,152488,true
81,16384,158930,true
82,16384,498040,true
83,16384,215738,true
84,16384,354810,true
85,16384,116109,true
86,16384,198014,true
87,16384,159652,true
88,16384,380057,true
89,16384,435151,true
90,16384,192053,true
91,16384,415434,true
92,16384,230214,true
93,16384,268427,true
94,16384,151787,true
95,16384,854953,true
96,16384,520131,true
97,16384,386960,true
98,16384,199226,true
99,16384,267265,true
100,16384,123673,true
1,32768,241135,true
2,32768,294957,true
3,32768,219364,true
